作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
140	72	8	80	7	3
141	73	6	79	8	3
142	74	10	84	2	6
143	75	10	85	9	5
144	76	8	84	4	1
145	76	7	83	4	4
146	76	7	83	7	4
147	77	2	79	7	4
148	77	10	87	1	4
149	77	2	79	3	7
150	78	8	86	4	5
151	78	6	84	5	6
152	78	6	84	8	2
153	79	3	82	5	10
154	80	5	85	5	10
155	82	1	83	3	10
156	82	1	83	9	4
157	82	4	86	10	1
158	83	2	85	9	9
159	83	8	91	1	10
160	84	4	88	6	9
161	84	9	93	7	5
162	84	1	85	7	1
163	85	10	95	4	4
164	85	1	86	7	5
165	85	8	93	10	6
166	86	7	93	6	6
167	87	2	89	6	6
168	87	4	91	7	6
169	88	7	95	4	4
170	89	1	90	9	7
171	89	9	98	10	3
172	89	3	92	4	3
173	89	8	97	5	9
174	89	10	99	6	10
175	90	5	95	6	10
176	91	9	100	6	9
177	91	4	95	9	2
178	92	2	94	9	9
179	92	9	101	6	6
180	92	4	96	6	4
181	93	7	100	7	7
182	97	9	106	3	2
183	97	8	105	2	1
184	98	6	104	10	6
185	98	1	99	6	1
186	98	7	105	8	3
187	98	2	100	8	6
188	98	6	104	9	10
189	99	3	102	10	4
190	100	4	104	9	7
191	100	5	105	9	10
192	101	2	103	8	2
193	103	6	109	8	2
194	103	8	111	3	2
195	104	7	111	7	6
196	104	7	111	1	4
197	104	5	109	2	1
198	106	5	111	7	2
199	106	9	115	5	2
200	106	1	107	1	5
201	107	10	117	9	9
202	107	9	116	4	10
203	109	4	113	5	3
204	110	4	114	1	10
205	110	7	117	2	1
206	111	1	112	6	10
207	112	3	115	5	8
208	112	7	119	9	2
209	112	2	114	1	1
210	112	3	115	6	8
211	112	9	121	9	1
212	112	5	117	9	5
213	113	9	122	1	1
214	113	10	123	4	8
215	115	10	125	5	7
216	115	6	121	2	3
217	115	6	121	5	3
218	115	7	122	8	9
219	115	6	121	7	5
220	116	4	120	6	3
221	117	3	120	5	3
222	117	10	127	5	9
223	117	1	118	7	10
224	118	7	125	6	1
225	118	9	127	9	7
226	118	5	123	3	10
227	119	3	122	6	2
228	122	6	128	4	5
229	122	9	131	2	10
230	123	1	124	5	9
231	124	6	130	1	4
232	124	1	125	6	3
233	124	6	130	2	2
234	124	1	125	7	6
235	125	5	130	7	1
236	125	2	127	1	8
237	126	9	135	2	2
238	126	5	131	9	9
239	126	2	128	10	4
240	127	6	133	6	2
241	127	8	135	4	10
242	128	9	137	7	8
243	129	5	134	6	1
244	129	5	134	7	2
245	129	7	136	6	1
246	129	6	135	1	9
247	130	6	136	6	10
248	131	6	137	9	5
249	131	3	134	4	10
250	131	7	138	9	1
251	132	6	138	10	7
252	132	1	133	5	3
253	132	2	134	2	5
254	132	7	139	5	10
255	132	2	134	4	3
256	133	2	135	8	6
257	133	7	140	7	5
258	134	9	143	7	9
259	136	9	145	6	4
260	136	8	144	6	7
261	136	1	137	2	7
262	136	8	144	2	4
263	138	3	141	9	8
264	138	8	146	9	3
265	138	2	140	5	10
266	138	9	147	9	3
267	139	4	143	3	10
268	139	1	140	1	6
269	139	4	143	1	2
270	139	5	144	6	6
