作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
146	74	8	82	1	5
147	74	2	76	1	4
148	74	5	79	5	3
149	74	4	78	2	10
150	76	9	85	4	1
151	76	10	86	2	8
152	76	1	77	1	3
153	77	9	86	2	10
154	78	9	87	2	10
155	78	6	84	5	9
156	79	8	87	4	9
157	79	4	83	2	7
158	79	2	81	4	8
159	80	10	90	1	7
160	80	2	82	1	1
161	81	8	89	3	9
162	81	4	85	3	2
163	81	1	82	1	5
164	82	2	84	1	4
165	82	1	83	1	3
166	82	6	88	1	10
167	82	4	86	3	2
168	84	8	92	3	10
169	84	5	89	4	3
170	84	3	87	2	4
171	84	5	89	3	8
172	86	8	94	4	2
173	86	5	91	1	7
174	86	10	96	2	5
175	86	3	89	3	6
176	87	7	94	4	2
177	87	9	96	4	1
178	88	7	95	2	1
179	89	6	95	1	5
180	89	1	90	5	2
181	89	2	91	2	9
182	90	6	96	4	4
183	90	7	97	2	9
184	90	6	96	3	5
185	90	5	95	1	9
186	91	9	100	2	10
187	91	10	101	1	4
188	92	5	97	4	8
189	93	5	98	2	10
190	93	3	96	3	10
191	94	10	104	4	5
192	94	3	97	1	7
193	95	3	98	1	10
194	95	6	101	1	8
195	95	7	102	5	8
196	95	2	97	5	9
197	96	1	97	2	8
198	96	3	99	3	2
199	96	1	97	5	10
200	96	4	100	4	7
201	97	9	106	4	10
202	97	8	105	2	7
203	97	9	106	5	1
204	97	9	106	2	6
205	97	8	105	3	9
206	98	2	100	4	9
207	98	9	107	2	7
208	98	5	103	3	8
209	98	2	100	2	3
210	98	3	101	2	3
211	99	2	101	4	9
212	99	5	104	5	9
213	99	2	101	4	4
214	100	8	108	1	10
215	100	5	105	4	9
216	100	9	109	3	10
217	102	3	105	5	5
218	103	3	106	4	10
219	103	7	110	1	8
220	104	6	110	5	9
221	104	2	106	3	8
222	105	6	111	1	9
223	105	4	109	5	1
224	105	4	109	2	5
225	106	10	116	5	3
226	106	2	108	1	9
227	107	10	117	4	7
228	108	8	116	2	10
229	108	10	118	2	5
230	108	8	116	4	8
231	110	8	118	3	2
232	111	8	119	1	10
233	111	8	119	2	1
234	111	8	119	2	5
235	111	2	113	5	7
236	111	2	113	1	2
237	112	4	116	2	8
238	112	3	115	2	4
239	114	3	117	3	6
240	114	9	123	5	8
241	115	9	124	1	3
242	115	6	121	1	9
243	116	4	120	5	4
244	116	2	118	2	2
245	116	4	120	5	1
246	117	9	126	5	5
247	117	10	127	3	2
248	117	7	124	5	8
249	118	2	120	5	4
250	118	8	126	3	2
251	120	4	124	3	5
252	120	4	124	2	3
253	120	1	121	2	2
254	121	3	124	3	8
255	122	7	129	3	6
256	122	1	123	1	5
257	123	10	133	3	9
258	124	3	127	5	8
259	124	3	127	5	3
260	124	3	127	4	1
261	125	5	130	4	10
262	125	6	131	5	2
263	126	6	132	4	2
264	126	5	131	5	5
265	127	6	133	3	2
266	127	6	133	4	9
267	127	10	137	1	1
268	128	2	130	4	1
269	128	7	135	4	4
270	128	10	138	4	6
